,E,G,OBJ,Success
0,0.14714058342402178,0.44814247701962784,30.0,0.0
0,0.1571405834240218,0.44814247701962784,30.0,0.0
0,0.14714058342402178,0.45814247701962785,30.0,0.0
0,0.15378575648697027,0.5088983450237282,30.0,0.0
0,0.16378575648697027,0.5088983450237282,30.0,0.0
0,0.15378575648697027,0.5188983450237282,0.5899482543089555,1.0
0,0.15443535112958212,0.5148374960418937,0.5593966146088164,1.0
0,0.16443535112958213,0.5148374960418937,30.0,0.0
0,0.15443535112958212,0.5248374960418937,0.6078449546032306,1.0
0,0.1540066186654583,0.5109176563699045,30.0,0.0
0,0.16400661866545832,0.5109176563699045,30.0,0.0
0,0.1540066186654583,0.5209176563699045,0.5958047531703236,1.0
0,0.15443186420667396,0.5148056156038763,0.5593352798456916,1.0
0,0.16443186420667397,0.5148056156038763,30.0,0.0
0,0.15443186420667396,0.5248056156038763,0.6077436242988533,1.0
0,0.15415120214947162,0.5122395625094549,30.0,0.0
0,0.16415120214947163,0.5122395625094549,30.0,0.0
0,0.15415120214947162,0.5222395625094549,0.5997685773308699,1.0
0,0.15443042984287833,0.5147925014206018,0.5593100098506721,1.0
0,0.16443042984287834,0.5147925014206018,30.0,0.0
0,0.15443042984287833,0.5247925014206019,0.6077019761749064,1.0
0,0.15424613956522992,0.5131075617392449,30.0,0.0
0,0.16424613956522993,0.5131075617392449,30.0,0.0
0,0.15424613956522992,0.5231075617392449,0.6024250400129724,1.0
0,0.1544298271811605,0.5147869913706101,0.5592994591306498,1.0
0,0.1644298271811605,0.5147869913706101,30.0,0.0
0,0.1544298271811605,0.5247869913706101,0.6076844392777446,1.0
0,0.1543085933546463,0.5136785678139091,30.0,0.0
0,0.16430859335464632,0.5136785678139091,30.0,0.0
0,0.1543085933546463,0.5236785678139091,0.6041956085752379,1.0
0,0.15442957066484342,0.5147846460785683,0.5592949510133834,1.0
0,0.16442957066484343,0.5147846460785683,30.0,0.0
0,0.15442957066484342,0.5247846460785683,0.6076769840003019,1.0
0,0.15434972564011332,0.5140546344238932,30.0,0.0
0,0.16434972564011333,0.5140546344238932,30.0,0.0
0,0.15434972564011332,0.5240546344238932,0.6053717277430839,1.0
0,0.15442946058808607,0.5147836396625013,0.5592930411050727,1.0
0,0.16442946058808608,0.5147836396625013,30.0,0.0
0,0.15442946058808607,0.5247836396625013,0.6076738096286397,1.0
0,0.15437683552242407,0.51430249620502,30.0,0.0
0,0.16437683552242408,0.51430249620502,30.0,0.0
0,0.15437683552242407,0.52430249620502,0.6061512600058405,1.0
0,0.15442941310480074,0.5147832055296068,0.5592921969398094,1.0
0,0.16442941310480075,0.5147832055296068,30.0,0.0
